"#","00_IDENTIFICADOR DE L'ALUMNE/A","01_NOM","02_DATA NAIXEMENT","03_RESPONSABLE 1","04_TELÈFON RESP. 1","05_MÒBIL RESP. 1","06_ADREÇA ELECTR. RESP. 1","07_RESPONSABLE 2","08_TELÈFON RESP. 2","09_MÒBIL RESP. 2","10_ADREÇA ELECTR. RESP. 2","11_ADREÇA","12_LOCALITAT","13_MUNICIPI","14_CORREU ELECTRÒNIC","15_ALTRES TELÈFONS","16_CENTRE PROCEDÈNCIA","17_GRUPSCLASSE"
"1","52941243727","Mir Benito, Ferran","18/09/1998","Paredes Ordoñez, Guillem","+34 XXXXXXX","+34 XXXXXXX","ferran@mailintaor.com","Nadal Dalmau, Emma","+34 XXXXZZZZ","+34 XXXXLLL","guillem@mailintaor.com","c/ de l'aviador Emma Nadal Dalmau","L'Armentera","Albanyà","ferran@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","64641537117","Rivera Suarez, Anna","22/08/1996","Soriano Montes, Bruna","+34 XXXXXXX","+34 XXXXXXX","anna@mailintaor.com","Vila Morales, Noa","+34 XXXXZZZZ","+34 XXXXLLL","bruna@mailintaor.com","c/ de l'aviador Noa Vila Morales","L'Armentera","Albanyà","anna@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","61883547665","Coll Murillo, Leyre","07/04/1998","Casas Ribera, Carlota","+34 XXXXXXX","+34 XXXXXXX","leyre@mailintaor.com","Valverde Sala, Alan","+34 XXXXZZZZ","+34 XXXXLLL","carlota@mailintaor.com","c/ de l'aviador Alan Valverde Sala","L'Armentera","Albanyà","leyre@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","43815613730","Nadal Muñoz, Arnau","08/10/1991","Sala Rico, Clara","+34 XXXXXXX","+34 XXXXXXX","arnau@mailintaor.com","Ros Villar, Aya","+34 XXXXZZZZ","+34 XXXXLLL","clara@mailintaor.com","c/ de l'aviador Aya Ros Villar","L'Armentera","Albanyà","arnau@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","92355440969","Salazar Perez, Aya","28/07/1993","Flores Sierra, Jaume","+34 XXXXXXX","+34 XXXXXXX","aya@mailintaor.com","Castillo Egea, Ainara","+34 XXXXZZZZ","+34 XXXXLLL","jaume@mailintaor.com","c/ de l'aviador Ainara Castillo Egea","L'Armentera","Albanyà","aya@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","38175953555","Zamora Pardo, Unai","17/10/1998","Dalmau Grau, Ivet","+34 XXXXXXX","+34 XXXXXXX","unai@mailintaor.com","Asensio Hurtado, Marcos","+34 XXXXZZZZ","+34 XXXXLLL","ivet@mailintaor.com","c/ de l'aviador Marcos Asensio Hurtado","L'Armentera","Albanyà","unai@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","73769671389","Garrido Aguilar, Ana","05/05/1991","Gimeno Martos, Berta","+34 XXXXXXX","+34 XXXXXXX","ana@mailintaor.com","Rey Valencia, Leire","+34 XXXXZZZZ","+34 XXXXLLL","berta@mailintaor.com","c/ de l'aviador Leire Rey Valencia","L'Armentera","Albanyà","ana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","51978456129","Ribas Mora, Emma","23/12/1993","Benitez Pages, Miguel","+34 XXXXXXX","+34 XXXXXXX","emma@mailintaor.com","Marin Maldonado, Salma","+34 XXXXZZZZ","+34 XXXXLLL","miguel@mailintaor.com","c/ de l'aviador Salma Marin Maldonado","L'Armentera","Albanyà","emma@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","43596591610","Egea Rius, David","29/05/1993","Martin Nadal, Ona","+34 XXXXXXX","+34 XXXXXXX","david@mailintaor.com","Prats Miralles, David","+34 XXXXZZZZ","+34 XXXXLLL","ona@mailintaor.com","c/ de l'aviador David Prats Miralles","L'Armentera","Albanyà","david@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","14397972614","Abad Reina, Helena","23/12/1990","Lorente Marcos, Queralt","+34 XXXXXXX","+34 XXXXXXX","helena@mailintaor.com","Beltran Jimenez, Álvaro","+34 XXXXZZZZ","+34 XXXXLLL","queralt@mailintaor.com","c/ de l'aviador Álvaro Beltran Jimenez","L'Armentera","Albanyà","helena@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
